cur_prc,trde_qty,trde_prica,dt,open_pric,high_pric,low_pric,pred_pre,pred_pre_sig,trde_tern_rt
152100,25407497,3899974,20260123,154700,156000,150100,-200,5,+0.43
152300,32073624,4953547,20260122,155000,157000,150800,+2800,2,+0.54
149500,31703610,4679612,20260121,141900,149800,141800,+4300,2,+0.54
145200,24059218,3512771,20260120,148500,149300,143900,-4100,5,+0.41
149300,22762497,3381546,20260119,147200,150600,146600,+400,2,+0.38
148900,30000219,4435943,20260116,145300,149500,144300,+5000,2,+0.51
143900,24701126,3498250,20260115,139000,144000,138300,+3600,2,+0.42
140300,18444394,2569043,20260114,137000,140300,136800,+2700,2,+0.31
137600,22384699,3095246,20260113,139800,140200,136900,-1200,5,+0.38
138800,26271134,3666690,20260112,141000,142000,136900,-200,5,+0.44
139000,29520566,4069185,20260109,136000,140700,135200,+200,2,+0.50
138800,41449329,5840279,20260108,138300,144500,138300,-2200,5,+0.70
141000,46317413,6545096,20260107,143500,144400,137600,+2100,2,+0.78
138900,45321341,6156417,20260106,135300,139300,132700,+800,2,+0.77
138100,42863376,5837009,20260105,134600,138600,133600,+9600,2,+0.72
128500,30463279,3805941,20260102,120200,128500,120200,+8600,2,+0.51
119900,19746349,2375904,20251230,119100,121200,118700,+400,2,+0.33
119500,19676004,2342293,20251229,119400,119700,118200,+2500,2,+0.33
117000,34018174,3930508,20251226,112400,117000,112400,+5900,2,+0.57
111100,12492939,1392948,20251224,112400,112400,110900,-400,5,+0.21
111500,20419187,2280880,20251223,110900,112500,110400,+1000,2,+0.34
110500,24859171,2733031,20251222,109700,110500,109300,+4200,2,+0.42
106300,25917098,2775502,20251219,109700,109700,106200,-1300,5,+0.44
107600,20445631,2187290,20251218,106400,108200,105700,-300,5,+0.35
107900,22297611,2355122,20251217,103500,108100,103400,+5100,2,+0.38
102800,18852079,1956433,20251216,104900,105600,102700,-2000,5,+0.32
104800,20594654,2165419,20251215,105300,105800,104600,-4100,5,+0.35
108900,14210314,1537685,20251212,107100,108900,106800,+1600,2,+0.24
107300,22994507,2490051,20251211,109200,110500,107300,-700,5,+0.39
108000,12365092,1339077,20251210,108300,109800,107400,-400,5,+0.21
108400,13671800,1482781,20251209,108900,109400,107300,-1100,5,+0.23
109500,15527762,1697092,20251208,109700,110000,108000,+1100,2,+0.26
108400,19755571,2110938,20251205,105300,108400,104600,+3300,2,+0.33
105100,11931145,1243001,20251204,103900,105100,103200,+600,2,+0.20
104500,14697927,1541179,20251203,104700,105500,104000,+1100,2,+0.25
103400,13649487,1401470,20251202,101200,103500,101000,+2600,2,+0.23
100800,10905526,1101996,20251201,102000,102800,99900,+300,2,+0.18
100500,15292277,1548884,20251128,103800,103800,100500,-3000,5,+0.26
103500,16453004,1713247,20251127,104100,105500,102700,+700,2,+0.28
102800,21314975,2159035,20251126,100500,102900,99300,+3500,2,+0.36
99300,16110054,1602731,20251125,101400,101400,97800,+2600,2,+0.27
96700,29831172,2908768,20251124,97800,99000,96200,+1900,2,+0.50
94800,23103574,2204245,20251121,95600,96800,94500,-5800,5,+0.39
100600,25360435,2568226,20251120,100900,102900,99500,+4100,2,+0.43
96500,18993346,1787981,20251119,97100,97500,94600,-1300,5,+0.32
97800,18684068,1844179,20251118,99800,100900,97500,-2800,5,+0.32
100600,17192584,1724131,20251117,99800,101000,99500,+3400,2,+0.29
97200,21806342,2147749,20251114,99000,99600,97200,-5600,5,+0.37
102800,20838741,2148169,20251113,102500,104200,102300,-300,5,+0.35
103100,19413497,1998503,20251112,103000,103900,101600,-400,5,+0.33
103500,27742542,2891284,20251111,103700,106000,102000,+2900,2,+0.47
100600,23842327,2378589,20251110,98600,101000,97900,+2700,2,+0.40
97900,22908083,2246166,20251107,96400,100300,96300,-1300,5,+0.39
99200,28655689,2879396,20251106,103700,103800,98800,-1400,5,+0.48
100600,44843020,4472837,20251105,101000,102000,96700,-4300,5,+0.76
104900,30450281,3288827,20251104,111800,112400,104900,-6200,5,+0.51
111100,30110066,3295567,20251103,106900,111500,106500,+3600,2,+0.51
107500,54824564,5744255,20251031,105000,108600,103300,+3400,2,+0.93
104100,34570017,3591285,20251030,102400,105800,102000,+3600,2,+0.58
100500,20899788,2092398,20251029,100200,101000,99100,+1000,2,+0.35
99500,20002282,1994943,20251028,100900,101000,99100,-2500,5,+0.34
102000,22169970,2250615,20251027,101300,102000,100600,+3200,2,+0.37
98800,18801925,1852511,20251024,97900,99000,97700,+2300,2,+0.32
96500,18488581,1796782,20251023,96800,98500,96300,-2100,5,+0.31
98600,15937611,1547962,20251022,97100,98600,95500,+1100,2,+0.27
97500,22803830,2252646,20251021,98500,99900,97300,-600,5,+0.39
98100,17589756,1715000,20251020,97900,98300,96000,+200,2,+0.30
97900,22730809,2225132,20251017,97200,99100,96700,+200,2,+0.38
97700,28141060,2728362,20251016,95300,97700,95000,+2700,2,+0.48
95000,21050111,1978833,20251015,92300,95300,92100,+3400,2,+0.36
91600,35545235,3312011,20251014,95300,96000,90200,-1700,5,+0.60
93300,23883308,2197371,20251013,91300,93400,90700,-1100,5,+0.40
94400,35269748,3311085,20251010,94000,94500,92700,+5400,2,+0.60
89000,49883028,4472132,20251002,89300,90300,88700,+3000,2,+0.84
86000,22039361,1886160,20251001,84900,86200,84700,+2100,2,+0.37
83900,16319061,1371831,20250930,84600,84900,83400,-300,5,+0.28
84200,13069094,1102883,20250929,83300,85000,83200,+900,2,+0.22
83300,24071193,2011032,20250926,85000,85300,82400,-2800,5,+0.41
86100,19665151,1683396,20250925,84400,86200,84100,+700,2,+0.33
85400,18300997,1550295,20250924,84200,85500,83700,+700,2,+0.31
84700,23610263,2000621,20250923,85800,85900,83600,+1200,2,+0.40
83500,27529656,2288084,20250922,81500,84000,81100,+3800,2,+0.47
79700,20898386,1672548,20250919,81100,81200,79600,-800,5,+0.35
80500,25619035,2046310,20250918,79100,80500,78600,+2300,2,+0.43
78200,20856317,1630232,20250917,79100,79100,77100,-1200,5,+0.35
79400,28218265,2211426,20250916,76900,79500,76700,+2900,2,+0.48
76500,19908805,1529429,20250915,77200,77600,75900,+1100,2,+0.34
75400,28219678,2118001,20250912,74600,75600,74200,+2000,2,+0.48
73400,20793501,1518036,20250911,73200,73600,72100,+800,2,+0.35
72600,21928565,1589672,20250910,71800,72800,71600,+1100,2,+0.37
71500,14870245,1055357,20250909,70100,71500,70000,+1400,2,+0.25
70100,9263135,648525,20250908,69800,70500,69600,+600,2,+0.16
69500,11526724,804642,20250905,70300,70400,69500,-600,5,+0.19
70100,12284414,855350,20250904,69500,70100,69300,+300,2,+0.21
69800,10283009,714517,20250903,69200,69800,68800,+700,2,+0.17
69100,10604028,731583,20250902,67800,69500,67800,+1500,2,+0.18
67600,12002343,815939,20250901,68400,68600,67500,-2100,5,+0.20
69700,11682267,817254,20250829,70100,70500,69700,+100,2,+0.20
69600,11578024,810423,20250828,70100,70400,69600,-1000,5,+0.20
70600,10523405,741246,20250827,70100,70900,69800,+300,2,+0.18
70300,14712519,1037834,20250826,70800,71100,70300,-1200,5,+0.25
71500,10345178,737888,20250825,71700,71800,71000,+100,2,+0.17
71400,9277432,662246,20250822,71700,71800,70800,+800,2,+0.16
70600,18843833,1346119,20250821,71500,71900,70600,+100,2,+0.32
70500,17445516,1224602,20250820,70100,70700,69400,+500,2,+0.29
70000,10533082,738974,20250819,70400,70700,69700,0,3,+0.18
70000,13595591,956707,20250818,71100,71200,70000,-1600,5,+0.23
71600,11946122,855003,20250814,71900,71900,71200,-300,5,+0.20
71900,12305742,882863,20250813,71900,72100,71400,+800,2,+0.21
71100,15797656,1131564,20250812,71100,72400,71100,+100,2,+0.27
71000,11354253,808470,20250811,72000,72100,70800,-800,5,+0.19
71800,22241128,1593486,20250808,71000,72400,70700,+1300,2,+0.38
70500,15008213,1055403,20250807,70800,71000,69700,+1700,2,+0.25
68800,12542415,863116,20250806,69200,69400,68300,-1100,5,+0.21
69900,14392903,1012314,20250805,71000,71500,69700,+200,2,+0.24
69700,14780072,1030550,20250804,69500,70200,68700,+800,2,+0.25
68900,24038534,1680885,20250801,70200,72000,68800,-2500,5,+0.41
71400,26568072,1907638,20250731,73000,74000,71000,-1200,5,+0.45
72600,34761444,2521446,20250730,71000,73700,70600,+2000,2,+0.59
70600,28190940,1977721,20250729,70800,70800,68800,+200,2,+0.48
70400,35332500,2431397,20250728,68200,70400,67200,+4500,2,+0.60
65900,8080910,532537,20250725,65700,66300,65500,-100,5,+0.14
66000,12660193,839577,20250724,66500,66800,65900,-400,5,+0.21
66400,15687058,1033696,20250723,66200,66500,64900,+400,2,+0.27
66000,20829006,1389856,20250722,68100,68500,65600,-1800,5,+0.35
67800,17723148,1204017,20250721,67400,68800,67200,+700,2,+0.30
67100,23951531,1607582,20250718,67000,67800,66300,+400,2,+0.40
66700,39448683,2597602,20250717,65900,66800,64400,+2000,2,+0.67
64700,23042660,1479498,20250716,63700,64700,63100,+1000,2,+0.39
63700,18442202,1164849,20250715,62300,63800,62000,+1200,2,+0.31
62500,13563846,843867,20250714,62300,62600,61800,-100,5,+0.23
